A,B,C
0.016666667,0.650999152,0.016666667
0.016111111,0.473422986,0.016111111
0.014444444,0.427837635,0.014444444
0.010555556,0.335051706,0.010555556
0.010555556,0.496091889,0.010555556
0.010555556,0.496091889,0.010555556
0.005555556,0.283506718,0.005555556
0.01037037,0.708089141,0.01037037
0.007037037,0.354186909,0.007037037
0.009074074,0.584849029,0.009074074
0.012592593,0.647230285,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.012592593,0.496091889,0.012592593
0.011481481,0.449503982,0.011481481
0.011851852,0.511736711,0.011851852
0.011481481,0.480484197,0.011481481
0.012592593,0.543032546,0.012592593
0.013888889,0.550446509,0.013888889
0.013888889,0.496091889,0.013888889
0.013888889,0.496091889,0.013888889
0.015185185,0.549969985,0.015185185
0.013333333,0.419786245,0.013333333
0.01537037,0.581080161,0.01537037
0.015925926,0.518958827,0.015925926
0.015740741,0.488498456,0.015740741
0.015740741,0.496091889,0.015740741
0.015740741,0.496091889,0.015740741
0.017407407,0.564519423,0.017407407
0.017592593,0.503611058,0.017592593
0.019074074,0.556177168,0.019074074
0.019259259,0.503530606,0.019259259
0.018888889,0.48123302,0.018888889
0.018888889,0.496091889,0.018888889
0.018888889,0.496091889,0.018888889
0.019074074,0.503536794,0.019074074
0.02,0.533285475,0.02
0.021666667,0.562638084,0.021666667
0.022777778,0.539981558,0.022777778
0.024444444,0.561462246,0.024444444
0.024444444,0.496091889,0.024444444
0.024444444,0.496091889,0.024444444
0.02537037,0.532029186,0.02537037
0.025,0.481802373,0.025
0.024259259,0.467438593,0.024259259
0.025,0.524875145,0.025
0.027037037,0.574879167,0.027037037
0.027037037,0.496091889,0.027037037
0.027037037,0.496091889,0.027037037
0.026296296,0.467803722,0.026296296
0.025185185,0.453458508,0.025185185
0.025555556,0.51039997,0.025555556
0.026666667,0.538917116,0.026666667
0.029444444,0.6024247,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029814815,0.510028653,0.029814815
0.031666667,0.565627185,0.031666667
0.028703704,0.386070662,0.028703704
0.03037037,0.559098195,0.03037037
0.033703704,0.620835835,0.033703704
0.033703704,0.496091889,0.033703704
0.033703704,0.496091889,0.033703704
0.033333333,0.482507875,0.033333333
0.029444444,0.353122467,0.029444444
0.027962963,0.440338641,0.027962963
0.027407407,0.474994894,0.027407407
0.025185185,0.411413047,0.025185185
0.025185185,0.496091889,0.025185185
0.025185185,0.496091889,0.025185185
0.026111111,0.531862093,0.026111111
0.024259259,0.424959929,0.024259259
0.019814815,0.323386163,0.019814815
0.018888889,0.459077772,0.018888889
0.018333333,0.473750982,0.018333333
0.018333333,0.496091889,0.018333333
0.018333333,0.496091889,0.018333333
0.018333333,0.496091889,0.018333333
0.018333333,0.496091889,0.018333333
0.018333333,0.496091889,0.018333333
0.022222222,0.653047584,0.022222222
0.022962963,0.525246462,0.022962963
0.022962963,0.496091889,0.022962963
0.022962963,0.496091889,0.022962963
0.022222222,0.467073465,0.022222222
0.022222222,0.496091889,0.022222222
0.022407407,0.503382079,0.022407407
0.024444444,0.576178777,0.024444444
0.024444444,0.496091889,0.024444444
0.024444444,0.496091889,0.024444444
0.024444444,0.496091889,0.024444444
0.024444444,0.496091889,0.024444444
0.022222222,0.409841138,0.022222222
0.025185185,0.612722558,0.025185185
0.024259259,0.460321684,0.024259259
0.024814815,0.517677783,0.024814815
